#
#--------------------------------------------------------------------------------
### 
## 
## Courbe 0
## resp_2
## Courbe 1
## resp_3
## Courbe 2
## resp_4
## Courbe 3
## resp_5
## Courbe 4
## resp_6
## Courbe 5
## resp_7
## Courbe 6
## resp_8
## Courbe 7
## resp_9
## Courbe 8
## resp_10
## Courbe 9
## resp_11
## Courbe 10
## resp_12
## Courbe 11
## resp_13
## Courbe 12
## resp_14
FREQ          DZ_0_R        DZ_0_I        DZ_1_R        DZ_1_I        DZ_2_R        DZ_2_I        DZ_3_R        DZ_3_I        DZ_4_R        DZ_4_I        DZ_5_R        DZ_5_I        DZ_6_R        DZ_6_I        DZ_7_R        DZ_7_I        DZ_8_R        DZ_8_I        DZ_9_R        DZ_9_I        DZ_10_R       DZ_10_I       DZ_11_R       DZ_11_I       DZ_12_R       DZ_12_I     
 4.11000E+01  -1.00633E+00  -2.54023E+00  -1.10240E+00  -3.00821E+00  -1.16240E+00  -3.47583E+00  -1.17971E+00  -3.93415E+00  -1.14885E+00  -4.37500E+00  -1.06560E+00  -4.79106E+00  -9.27110E-01  -5.17601E+00  -7.31939E-01  -5.52471E+00  -4.80126E-01  -5.83330E+00  -1.73210E-01  -6.09936E+00   1.85774E-01  -6.32205E+00   5.92321E-01  -6.50230E+00   1.04050E+00  -6.64289E+00
 4.14000E+01  -1.02436E+00  -2.53185E+00  -1.12255E+00  -2.99747E+00  -1.18421E+00  -3.46238E+00  -1.20262E+00  -3.91764E+00  -1.17225E+00  -4.35503E+00  -1.08882E+00  -4.76725E+00  -9.49454E-01  -5.14796E+00  -7.52708E-01  -5.49202E+00  -4.98638E-01  -5.79556E+00  -1.88822E-01  -6.05617E+00   1.73649E-01  -6.27305E+00   5.84197E-01  -6.44713E+00   1.03681E+00  -6.58123E+00
 4.17000E+01  -1.04249E+00  -2.52361E+00  -1.14280E+00  -2.98692E+00  -1.20611E+00  -3.44917E+00  -1.22562E+00  -3.90142E+00  -1.19570E+00  -4.33543E+00  -1.11206E+00  -4.74387E+00  -9.71767E-01  -5.12042E+00  -7.73390E-01  -5.45991E+00  -5.17000E-01  -5.75849E+00  -2.04213E-01  -6.01376E+00   1.61821E-01  -6.22491E+00   5.76451E-01  -6.39291E+00   1.03358E+00  -6.52063E+00
 4.20000E+01  -1.06074E+00  -2.51550E+00  -1.16317E+00  -2.97654E+00  -1.22812E+00  -3.43619E+00  -1.24870E+00  -3.88548E+00  -1.21922E+00  -4.31616E+00  -1.13532E+00  -4.72090E+00  -9.94059E-01  -5.09336E+00  -7.93996E-01  -5.42837E+00  -5.35224E-01  -5.72208E+00  -2.19397E-01  -5.97209E+00   1.50276E-01  -6.17761E+00   5.69070E-01  -6.33963E+00   1.03080E+00  -6.46106E+00
 4.23000E+01  -1.07910E+00  -2.50752E+00  -1.18366E+00  -2.96633E+00  -1.25025E+00  -3.42343E+00  -1.27188E+00  -3.86981E+00  -1.24280E+00  -4.29723E+00  -1.15861E+00  -4.69833E+00  -1.01634E+00  -5.06677E+00  -8.14539E-01  -5.39738E+00  -5.53322E-01  -5.68630E+00  -2.34385E-01  -5.93114E+00   1.39003E-01  -6.13112E+00   5.62041E-01  -6.28727E+00   1.02846E+00  -6.40250E+00
 4.26000E+01  -1.09759E+00  -2.49966E+00  -1.20427E+00  -2.95628E+00  -1.27249E+00  -3.41086E+00  -1.29516E+00  -3.85439E+00  -1.26647E+00  -4.27861E+00  -1.18195E+00  -4.67614E+00  -1.03862E+00  -5.04064E+00  -8.35027E-01  -5.36692E+00  -5.71304E-01  -5.65114E+00  -2.49189E-01  -5.89089E+00   1.27990E-01  -6.08543E+00   5.55352E-01  -6.23579E+00   1.02653E+00  -6.34492E+00
 4.29000E+01  -1.11621E+00  -2.49190E+00  -1.22501E+00  -2.94637E+00  -1.29485E+00  -3.39848E+00  -1.31855E+00  -3.83921E+00  -1.29022E+00  -4.26028E+00  -1.20534E+00  -4.65431E+00  -1.06091E+00  -5.01494E+00  -8.55472E-01  -5.33698E+00  -5.89181E-01  -5.61657E+00  -2.63818E-01  -5.85133E+00   1.17225E-01  -6.04052E+00   5.48991E-01  -6.18518E+00   1.02503E+00  -6.28831E+00
 4.32000E+01  -1.13496E+00  -2.48424E+00  -1.24589E+00  -2.93659E+00  -1.31735E+00  -3.38627E+00  -1.34206E+00  -3.82425E+00  -1.31406E+00  -4.24224E+00  -1.22879E+00  -4.63283E+00  -1.08322E+00  -4.98966E+00  -8.75882E-01  -5.30753E+00  -6.06963E-01  -5.58258E+00  -2.78285E-01  -5.81243E+00   1.06698E-01  -5.99635E+00   5.42949E-01  -6.13542E+00   1.02392E+00  -6.23265E+00
 4.36000E+01  -1.16018E+00  -2.47416E+00  -1.27396E+00  -2.92374E+00  -1.34756E+00  -3.37025E+00  -1.37360E+00  -3.80464E+00  -1.34601E+00  -4.21860E+00  -1.26017E+00  -4.60470E+00  -1.11300E+00  -4.95657E+00  -9.03059E-01  -5.26900E+00  -6.30542E-01  -5.53812E+00  -2.97337E-01  -5.76156E+00   9.30155E-02  -5.93861E+00   5.35368E-01  -6.07035E+00   1.02305E+00  -6.15986E+00
 4.39000E+01  -1.17926E+00  -2.46668E+00  -1.29518E+00  -2.91422E+00  -1.37039E+00  -3.35841E+00  -1.39742E+00  -3.79016E+00  -1.37011E+00  -4.20115E+00  -1.28380E+00  -4.58396E+00  -1.13539E+00  -4.93219E+00  -9.23425E-01  -5.24063E+00  -6.48139E-01  -5.50540E+00  -3.11460E-01  -5.72414E+00   8.30053E-02  -5.89613E+00   5.30028E-01  -6.02249E+00   1.02284E+00  -6.10631E+00
 4.42000E+01  -1.19850E+00  -2.45927E+00  -1.31656E+00  -2.90480E+00  -1.39338E+00  -3.34669E+00  -1.42137E+00  -3.77585E+00  -1.39432E+00  -4.18394E+00  -1.30751E+00  -4.56352E+00  -1.15782E+00  -4.90818E+00  -9.43786E-01  -5.21270E+00  -6.65672E-01  -5.47320E+00  -3.25452E-01  -5.68732E+00   7.32009E-02  -5.85435E+00   5.24972E-01  -5.97542E+00   1.02300E+00  -6.05365E+00
 4.45000E+01  -1.21789E+00  -2.45192E+00  -1.33810E+00  -2.89547E+00  -1.41652E+00  -3.33510E+00  -1.44547E+00  -3.76172E+00  -1.41866E+00  -4.16695E+00  -1.33132E+00  -4.54336E+00  -1.18030E+00  -4.88451E+00  -9.64150E-01  -5.18519E+00  -6.83148E-01  -5.44150E+00  -3.39320E-01  -5.65108E+00   6.35938E-02  -5.81323E+00   5.20193E-01  -5.92911E+00   1.02351E+00  -6.00185E+00
