# freq eta
 (4.650000000000000000e+01+0.000000000000000000e+00j)  (1.654328386513638804e+01-4.073464960080647179e-01j)  (1.681334990879054558e+01-4.190281424150105183e-01j)
 (4.679999999999999716e+01+0.000000000000000000e+00j)  (1.660618288560025491e+01-4.081636370058161489e-01j)  (1.686749850535861839e+01-4.203747518601790301e-01j)
 (4.710000000000000142e+01+0.000000000000000000e+00j)  (1.666899552843185717e+01-4.089965435319637965e-01j)  (1.692147174121368991e+01-4.217217973717433122e-01j)
 (4.750000000000000000e+01+0.000000000000000000e+00j)  (1.675258000992622698e+01-4.101345932127823946e-01j)  (1.699317826932684738e+01-4.235082182551690444e-01j)
 (4.779999999999999716e+01+0.000000000000000000e+00j)  (1.681509004407065788e+01-4.110140634887983202e-01j)  (1.704675639346926985e+01-4.248418044799378013e-01j)
 (4.820000000000000284e+01+0.000000000000000000e+00j)  (1.689814707998559840e+01-4.122150878889220271e-01j)  (1.711792778931203429e+01-4.266205296328043350e-01j)
 (4.850000000000000000e+01+0.000000000000000000e+00j)  (1.696017601270133923e+01-4.131447607949478296e-01j)  (1.717111747244374698e+01-4.279442949495868564e-01j)
 (4.889999999999999858e+01+0.000000000000000000e+00j)  (1.704246786106495293e+01-4.144256143358382438e-01j)  (1.724177758990995102e+01-4.297068392140591664e-01j)
 (4.920000000000000284e+01+0.000000000000000000e+00j)  (1.710384278126183943e+01-4.154260030909791013e-01j)  (1.729459077719874927e+01-4.310183246183319494e-01j)
 (4.960000000000000142e+01+0.000000000000000000e+00j)  (1.718514859926790805e+01-4.167900823173047997e-01j)  (1.736474853902991100e+01-4.327722270813560979e-01j)
 (4.989999999999999858e+01+0.000000000000000000e+00j)  (1.724568798556904170e+01-4.178595316831102968e-01j)  (1.741717983005660386e+01-4.340825540892241374e-01j)
 (5.029999999999999716e+01+0.000000000000000000e+00j)  (1.732578599886157633e+01-4.193380721595451610e-01j)  (1.748685621645872601e+01-4.358099434067832512e-01j)
 (5.070000000000000284e+01+0.000000000000000000e+00j)  (1.740511730293862769e+01-4.208719573756969923e-01j)  (1.755623697258243610e+01-4.375424284030520750e-01j)
 (5.100000000000000000e+01+0.000000000000000000e+00j)  (1.746409405023511852e+01-4.220606031828638138e-01j)  (1.760810862115057773e+01-4.388388953539774096e-01j)
 (5.139999999999999858e+01+0.000000000000000000e+00j)  (1.754198474253606577e+01-4.236880993498318149e-01j)  (1.767703081882618932e+01-4.405534894713619698e-01j)
 (5.179999999999999716e+01+0.000000000000000000e+00j)  (1.761902097989623073e+01-4.253810585161670321e-01j)  (1.774567574495767985e+01-4.422649561776117455e-01j)
 (5.210000000000000142e+01+0.000000000000000000e+00j)  (1.767621331765467119e+01-4.266848456368986242e-01j)  (1.779698167228671934e+01-4.435404980164183719e-01j)
 (5.250000000000000000e+01+0.000000000000000000e+00j)  (1.775170950781462054e+01-4.284676793341983814e-01j)  (1.786516783780004403e+01-4.452403035307803680e-01j)
 (5.289999999999999858e+01+0.000000000000000000e+00j)  (1.782633219477438047e+01-4.302957177532005795e-01j)  (1.793310596809116220e+01-4.469332999424701636e-01j)
 (5.329999999999999716e+01+0.000000000000000000e+00j)  (1.790006199364162853e+01-4.321702002031455603e-01j)  (1.800077843253712473e+01-4.486213557033493227e-01j)
 (5.370000000000000284e+01+0.000000000000000000e+00j)  (1.797296635043088031e+01-4.340858401425702895e-01j)  (1.806818599469034581e+01-4.502997973716534874e-01j)
 (5.410000000000000142e+01+0.000000000000000000e+00j)  (1.804502763835701984e+01-4.360362627598172169e-01j)  (1.813536500870256063e+01-4.519758569152527716e-01j)
 (5.439999999999999858e+01+0.000000000000000000e+00j)  (1.809854066086322177e+01-4.375224147763056570e-01j)  (1.818557770595342404e+01-4.532271984948224031e-01j)
 (5.479999999999999716e+01+0.000000000000000000e+00j)  (1.816921551663148193e+01-4.395285735151708284e-01j)  (1.825231783231944505e+01-4.548906958469121076e-01j)
 (5.520000000000000284e+01+0.000000000000000000e+00j)  (1.823913224705427183e+01-4.415587118451860249e-01j)  (1.831881175796230821e+01-4.565461693084501560e-01j)
 (5.560000000000000142e+01+0.000000000000000000e+00j)  (1.830835817825525424e+01-4.436143711182460314e-01j)  (1.838505432269560202e+01-4.581988955200047009e-01j)
 (5.600000000000000000e+01+0.000000000000000000e+00j)  (1.837689714210343794e+01-4.456838910902826689e-01j)  (1.845106702025992718e+01-4.598438624742107739e-01j)
 (5.639999999999999858e+01+0.000000000000000000e+00j)  (1.844479891032664653e+01-4.477713273149943607e-01j)  (1.851685248413363283e+01-4.614852385242607102e-01j)
 (5.679999999999999716e+01+0.000000000000000000e+00j)  (1.851209515794094784e+01-4.498706782008706218e-01j)  (1.858240914181277148e+01-4.631168356779967188e-01j)
 (5.729999999999999716e+01+0.000000000000000000e+00j)  (1.859540919430857997e+01-4.525059471075078554e-01j)  (1.866400654176482377e+01-4.651506437966068663e-01j)
 (5.770000000000000284e+01+0.000000000000000000e+00j)  (1.866146385156719845e+01-4.546206067496755820e-01j)  (1.872903747146380127e+01-4.667718829162457728e-01j)
 (5.810000000000000142e+01+0.000000000000000000e+00j)  (1.872703725421074239e+01-4.567386769816165759e-01j)  (1.879384527416659978e+01-4.683846358441046687e-01j)
 (5.850000000000000000e+01+0.000000000000000000e+00j)  (1.879212621908815350e+01-4.588607513082481604e-01j)  (1.885843084939395098e+01-4.699955227145236059e-01j)
 (5.889999999999999858e+01+0.000000000000000000e+00j)  (1.885677750192093072e+01-4.609787602810748175e-01j)  (1.892280567734930585e+01-4.715981745068280606e-01j)
 (5.939999999999999858e+01+0.000000000000000000e+00j)  (1.893702292871842374e+01-4.636228962822261934e-01j)  (1.900293791877994565e+01-4.735974219768536164e-01j)
 (5.979999999999999716e+01+0.000000000000000000e+00j)  (1.900077019860083283e+01-4.657371059758746989e-01j)  (1.906681915420839601e+01-4.751905995985993281e-01j)
 (6.020000000000000284e+01+0.000000000000000000e+00j)  (1.906415942002236363e+01-4.678458245288391049e-01j)  (1.913048323521890381e+01-4.767769849097729939e-01j)
 (6.060000000000000142e+01+0.000000000000000000e+00j)  (1.912720543834732467e+01-4.699475595745628564e-01j)  (1.919393117023356510e+01-4.783561364648318825e-01j)
 (6.110000000000000142e+01+0.000000000000000000e+00j)  (1.920557423298917143e+01-4.725658036269922979e-01j)  (1.927294553522893850e+01-4.803266024576315907e-01j)
 (6.150000000000000000e+01+0.000000000000000000e+00j)  (1.926791890421962350e+01-4.746511509290366471e-01j)  (1.933593845873489059e+01-4.818962551962618912e-01j)
 (6.200000000000000000e+01+0.000000000000000000e+00j)  (1.934544693459000086e+01-4.772472887880535586e-01j)  (1.941437873462808739e+01-4.838515458424904048e-01j)
 (6.239999999999999858e+01+0.000000000000000000e+00j)  (1.940715150556947322e+01-4.793176366011618339e-01j)  (1.947689428177757520e+01-4.854122159125701108e-01j)
 (6.289999999999999858e+01+0.000000000000000000e+00j)  (1.948393697436242178e+01-4.818856996962384565e-01j)  (1.955478699297034240e+01-4.873501771623407475e-01j)
 (6.329999999999999716e+01+0.000000000000000000e+00j)  (1.954507833929478267e+01-4.839341617666782502e-01j)  (1.961685825483490930e+01-4.888987036375826989e-01j)
 (6.379999999999999716e+01+0.000000000000000000e+00j)  (1.962116100923988071e+01-4.864829858771591020e-01j)  (1.969418669870913874e+01-4.908254060573488120e-01j)
 (6.420000000000000284e+01+0.000000000000000000e+00j)  (1.968178828711404904e+01-4.885068923650610628e-01j)  (1.975582316211918510e+01-4.923607633457222632e-01j)
 (6.470000000000000284e+01+0.000000000000000000e+00j)  (1.975724890814022672e+01-4.910254740728623446e-01j)  (1.983261094920559486e+01-4.942735196731044556e-01j)
 (6.520000000000000284e+01+0.000000000000000000e+00j)  (1.983237688812212696e+01-4.935322124366921526e-01j)  (1.990909375902716505e+01-4.961802904140270587e-01j)
